Sample-#, CA-V, CA-I, CB-V, CB-I 
178, 0.440222769976, 0.000485904485686, 0.233539327979, 0.00120307854377
179, 0.441901266575, 0.000470645463793, 0.233539327979, 0.00120307854377
180, 0.444953083992, 0.00062323565362, 0.233768209815, 0.00127937365323
181, 0.446936756372, 0.000470645463793, 0.233768209815, 0.00127174414229
182, 0.450446337461, 0.000508792989422, 0.234302282333, 0.00121833756566
183, 0.452353715897, 0.00060034712078, 0.234531164169, 0.00127174414229
184, 0.454642564058, 0.000554570055101, 0.234302282333, 0.00117256049998
185, 0.457236588001, 0.000630865164567, 0.234531164169, 0.00123359658755
186, 0.459754317999, 0.000516422500368, 0.234912648797, 0.00115730147809
187, 0.461814284325, 0.000592717609834, 0.235065236688, 0.00120307854377
188, 0.464866101742, 0.000791084894445, 0.234912648797, 0.00124885560945
189, 0.467612713575, 0.000638494675513, 0.234988942742, 0.00131752120797
190, 0.469291210175, 0.000562199566048, 0.235141530633, 0.00124885560945
191, 0.471808969975, 0.000638494675513, 0.23552300036, 0.00130226218607
192, 0.473411142826, 0.000577458587941, 0.235599294305, 0.00118019001093
193, 0.47699701786, 0.000676642230246, 0.235828176141, 0.00124885560945
194, 0.479438453913, 0.000653753697407, 0.236133366823, 0.00118781952187
195, 0.481574743986, 0.000630865164567, 0.23651483655, 0.00114204245619
196, 0.483863592148, 0.000501163478475, 0.236285954714, 0.00119544903282
197, 0.485618382692, 0.000524052011315, 0.23651483655, 0.0012412260985
198, 0.489127933979, 0.000531681522261, 0.237048909068, 0.00118781952187
199, 0.491645693779, 0.000577458587941, 0.237201496959, 0.00124885560945
200, 0.494163423777, 0.000615606142674, 0.237201496959, 0.00134040974081
201, 0.496223390102, 0.00062323565362, 0.237582966685, 0.00118019001093
202, 0.498283356428, 0.00060034712078, 0.237659260631, 0.00128700316418
203, 0.501106262207, 0.00062323565362, 0.238117039204, 0.00125648512039
204, 0.503395140171, 0.00060034712078, 0.238040745258, 0.00133278022986
205, 0.506141781807, 0.000577458587941, 0.238422214985, 0.00121070805471
206, 0.50804913044, 0.000562199566048, 0.23849850893, 0.00117256049998
207, 0.511635005474, 0.000607976631727, 0.238803699613, 0.00127937365323
208, 0.513237178326, 0.000676642230246, 0.238803699613, 0.00134803925175
209, 0.515220880508, 0.000630865164567, 0.239185169339, 0.00110389490146
210, 0.51819640398, 0.000394350354327, 0.23933775723, 0.0012412260985
211, 0.520332634449, 0.000569829076994, 0.239719226956, 0.00130226218607
212, 0.523689627647, 0.000585088098887, 0.239566639066, 0.00122596707661
213, 0.525444447994, 0.00060034712078, 0.239795535803, 0.00129463267513
214, 0.527733266354, 0.000501163478475, 0.240177005529, 0.0012412260985
215, 0.530251026154, 0.000546940544154, 0.240405887365, 0.00121833756566
216, 0.532616138458, 0.000592717609834, 0.240253299475, 0.00117256049998
217, 0.53559166193, 0.000760566850659, 0.240634769201, 0.00121833756566
218, 0.537193894386, 0.000638494675513, 0.240711063147, 0.00118019001093
219, 0.54055082798, 0.000546940544154, 0.241016253829, 0.0012412260985
220, 0.542534530163, 0.00064612418646, 0.241245135665, 0.00114967196714
221, 0.544975996017, 0.000638494675513, 0.241245135665, 0.00121833756566
222, 0.546654462814, 0.000653753697407, 0.241550311446, 0.00124885560945
223, 0.550011456013, 0.000684271741193, 0.241474017501, 0.0012412260985
224, 0.552681744099, 0.000585088098887, 0.241550311446, 0.00121833756566
225, 0.554818034172, 0.000607976631727, 0.241931796074, 0.00123359658755
226, 0.556954324245, 0.000585088098887, 0.24216067791, 0.00118019001093
