Freq.	V(vout)
2.34422881531991e+002	-5.59750759504706e-002 -2.11492726424343e-001
2.39883291901948e+002	-5.76414334971904e-002 -2.04944174781052e-001
2.45470891568502e+002	-5.91499739878921e-002 -1.98495784942371e-001
2.51188643150957e+002	-6.05053578818308e-002 -1.92150132508596e-001
2.57039578276885e+002	-6.17122500313120e-002 -1.85909628012053e-001
2.63026799189537e+002	-6.27753184593775e-002 -1.79776520652998e-001
2.69153480392690e+002	-6.36992332861490e-002 -1.73752901446509e-001
2.75422870333816e+002	-6.44886657170003e-002 -1.67840705797564e-001
2.81838293126444e+002	-6.51482870100544e-002 -1.62041715530865e-001
2.88403150312659e+002	-6.56827673457559e-002 -1.56357560410733e-001
2.95120922666637e+002	-6.60967745274121e-002 -1.50789719194568e-001
3.01995172040200e+002	-6.63949724485555e-002 -1.45339520270813e-001
3.09029543251358e+002	-6.65820192707235e-002 -1.40008141938918e-001
3.16227766016837e+002	-6.66625652636612e-002 -1.34796612394489e-001
3.23593656929627e+002	-6.66412502689617e-002 -1.29705809487437e-001
3.31131121482590e+002	-6.65227007576219e-002 -1.24736460324489e-001
3.38844156139201e+002	-6.63115264618152e-002 -1.19889140789786e-001
3.46736850452530e+002	-6.60123165711836e-002 -1.15164275058454e-001
3.54813389233574e+002	-6.56296354940202e-002 -1.10562135177954e-001
3.63078054770100e+002	-6.51680181936451e-002 -1.06082840790625e-001
3.71535229097171e+002	-6.46319651199469e-002 -1.01726359068273e-001
3.80189396320559e+002	-6.40259367652720e-002 -9.74925049257990e-002
3.89045144994279e+002	-6.33543478824479e-002 -9.33809415759447e-002
3.98107170553495e+002	-6.26215614105728e-002 -8.93911814811562e-002
4.07380277804111e+002	-6.18318821611360e-002 -8.55225877516376e-002
4.16869383470333e+002	-6.09895503229436e-002 -8.17743760308472e-002
4.26579518801591e+002	-6.00987348490993e-002 -7.81456169012422e-002
4.36515832240164e+002	-5.91635267928494e-002 -7.46352388341226e-002
4.46683592150961e+002	-5.81879326613960e-002 -7.12420316981465e-002
4.57088189614873e+002	-5.71758678577812e-002 -6.79646508316805e-002
4.67735141287196e+002	-5.61311502806582e-002 -6.48016216747873e-002
4.78630092322636e+002	-5.50574941502134e-002 -6.17513449475251e-002
4.89778819368444e+002	-5.39585041257601e-002 -5.88121023525158e-002
5.01187233627270e+002	-5.28376697766648e-002 -5.59820627715873e-002
5.12861383991362e+002	-5.16983604634028e-002 -5.32592889188649e-002
5.24807460249770e+002	-5.05438206798007e-002 -5.06417444060863e-002
5.37031796370250e+002	-4.93771659010544e-002 -4.81273011702646e-002
5.49540873857622e+002	-4.82013789750623e-002 -4.57137472091834e-002
5.62341325190346e+002	-4.70193070871532e-002 -4.33987945666338e-002
5.75439937337154e+002	-4.58336593205779e-002 -4.11800875068237e-002
5.88843655355586e+002	-4.46470048273322e-002 -3.90552108159905e-002
6.02559586074355e+002	-4.34617716161505e-002 -3.70216981689129e-002
6.16595001861479e+002	-4.22802459569859e-002 -3.50770404986916e-002
6.30957344480190e+002	-4.11045723941184e-002 -3.32186943097826e-002
6.45654229034652e+002	-3.99367543533165e-002 -3.14440898767385e-002
6.60693448007592e+002	-3.87786553223168e-002 -2.97506392743426e-002
6.76082975391978e+002	-3.76320005783602e-002 -2.81357441886927e-002
6.91830970918933e+002	-3.64983794316967e-002 -2.65968034632057e-002
7.07945784384134e+002	-3.53792479498691e-002 -2.51312203383394e-002
7.24435960074986e+002	-3.42759321242450e-002 -2.37364093489519e-002
7.41310241300914e+002	-3.31896314376780e-002 -2.24098028485336e-002
7.58577575029180e+002	-3.21214227903333e-002 -2.11488571349368e-002
7.76247116628688e+002	-3.10722647395846e-002 -1.99510581575951e-002
7.94328234724277e+002	-3.00430020094295e-002 -1.88139267914866e-002
8.12830516164095e+002	-2.90343702250436e-002 -1.77350236681594e-002
8.31763771102666e+002	-2.80470008288250e-002 -1.67119535589495e-002
8.51138038202372e+002	-2.70814261355215e-002 -1.57423693100179e-002
8.70963589956076e+002	-2.61380844857074e-002 -1.48239753329720e-002
8.91250938133741e+002	-2.52173254589211e-002 -1.39545306585868e-002
9.12010839355905e+002	-2.43194151101181e-002 -1.31318515644808e-002
9.33254300796986e+002	-2.34445411956730e-002 -1.23538137905191e-002
9.54992586021431e+002	-2.25928183579147e-002 -1.16183543582109e-002
9.77237220955805e+002	-2.17642932400401e-002 -1.09234730124442e-002
9.99999999999994e+002	-2.09589495061710e-002 -1.02672333055750e-002
1.02329299228075e+003	-2.01767127442500e-002 -9.64776334517475e-003
1.04712854805089e+003	-1.94174552323622e-002 -9.06325622766419e-003
1.07151930523760e+003	-1.86810005518975e-002 -8.51197018065241e-003
1.09647819614318e+003	-1.79671280336839e-002 -7.99222843708436e-003
1.12201845430196e+003	-1.72755770258185e-002 -7.50241886430803e-003
