Freq.	V(vout)
1.47910838816820e+002	5.36568866465781e-001 -4.98660924883240e-001
1.51356124843620e+002	5.25100238049290e-001 -4.99369580621276e-001
1.54881661891247e+002	5.13605070271602e-001 -4.99814867788969e-001
1.58489319246110e+002	5.02095491724175e-001 -4.99995608895152e-001
1.62181009735892e+002	4.90583691984176e-001 -4.99911325280145e-001
1.65958690743755e+002	4.79081870038947e-001 -4.99562240205295e-001
1.69824365246173e+002	4.67602182625842e-001 -4.98949277411433e-001
1.73780082874936e+002	4.56156692951712e-001 -4.98074055163556e-001
1.77827941003891e+002	4.44757320250426e-001 -4.96938875853043e-001
1.81970085860997e+002	4.33415790623998e-001 -4.95546711281361e-001
1.86208713666286e+002	4.22143589593289e-001 -4.93901183799535e-001
1.90546071796323e+002	4.10951916758466e-001 -4.92006543524584e-001
1.94984459975803e+002	3.99851642937897e-001 -4.89867641897035e-001
1.99526231496887e+002	3.88853270117725e-001 -4.87489901881543e-001
2.04173794466952e+002	3.77966894503787e-001 -4.84879285145231e-001
2.08929613085403e+002	3.67202172923687e-001 -4.82042256574888e-001
2.13796208950222e+002	3.56568292780671e-001 -4.78985746514600e-001
2.18776162394954e+002	3.46073945713322e-001 -4.75717111119344e-001
2.23872113856832e+002	3.35727305067101e-001 -4.72244091227707e-001
2.29086765276776e+002	3.25536007236115e-001 -4.68574770158278e-001
2.34422881531991e+002	3.15507136887197e-001 -4.64717530829686e-001
2.39883291901947e+002	3.05647216034108e-001 -4.60681012594081e-001
2.45470891568501e+002	2.95962196888186e-001 -4.56474068158646e-001
2.51188643150956e+002	2.86457458373512e-001 -4.52105720949978e-001
2.57039578276885e+002	2.77137806160335e-001 -4.47585123252518e-001
2.63026799189536e+002	2.68007476040148e-001 -4.42921515425405e-001
2.69153480392690e+002	2.59070140440015e-001 -4.38124186472746e-001
2.75422870333815e+002	2.50328917852318e-001 -4.33202436211069e-001
2.81838293126443e+002	2.41786384939317e-001 -4.28165539245388e-001
2.88403150312659e+002	2.33444591059547e-001 -4.23022710932390e-001
2.95120922666637e+002	2.25305074955045e-001 -4.17783075476433e-001
3.01995172040200e+002	2.17368883334441e-001 -4.12455636271805e-001
3.09029543251357e+002	2.09636591086798e-001 -4.07049248573566e-001
3.16227766016836e+002	2.02108322864380e-001 -4.01572594549638e-001
3.23593656929626e+002	1.94783775778909e-001 -3.96034160738970e-001
3.31131121482589e+002	1.87662242964945e-001 -3.90442217914906e-001
3.38844156139200e+002	1.80742637775413e-001 -3.84804803329427e-001
3.46736850452529e+002	1.74023518387502e-001 -3.79129705292973e-001
3.54813389233573e+002	1.67503112611948e-001 -3.73424450026049e-001
3.63078054770099e+002	1.61179342714530e-001 -3.67696290702860e-001
3.71535229097170e+002	1.55049850075224e-001 -3.61952198593785e-001
3.80189396320558e+002	1.49112019527495e-001 -3.56198856202441e-001
3.89045144994278e+002	1.43363003237372e-001 -3.50442652284412e-001
3.98107170553494e+002	1.37799743998986e-001 -3.44689678628183e-001
4.07380277804110e+002	1.32418997839937e-001 -3.38945728474344e-001
4.16869383470332e+002	1.27217355845976e-001 -3.33216296446519e-001
4.26579518801589e+002	1.22191265129918e-001 -3.27506579866525e-001
4.36515832240163e+002	1.17337048884272e-001 -3.21821481326841e-001
4.46683592150960e+002	1.12650925470723e-001 -3.16165612395328e-001
4.57088189614872e+002	1.08129026512251e-001 -3.10543298330143e-001
4.67735141287195e+002	1.03767413965262e-001 -3.04958583686742e-001
4.78630092322635e+002	9.95620961596230e-002 -2.99415238703585e-001
4.89778819368443e+002	9.55090428039816e-002 -2.93916766358520e-001
5.01187233627268e+002	9.16041989621089e-002 -2.88466409993641e-001
